LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 137148, 0, 30.320073934727446, 99.94321868916288, 30.319852860756747,
1, 132649, 0, 82.09635956546977, 99.76912928759894, 82.0957406709383,
2, 36847, 0, 17.021738540451054, 50.0, 17.021276595744578,
3, 91727, 0, 20.513044141855723, 100.0, 20.512820512820447,
4, 1052861, 0, 93.08921120641756, 99.76912928759894, 93.08912279102191,
5, 15483, 0, 45.57256345669444, 75.0, 45.569620253164594,
6, 42139, 0, 25.116875103823062, 90.0, 25.116279069767174,
7, 624679, 0, 85.07425413692472, 89.14402173913044, 85.07411794838963,
8, 20187, 0, 52.429781542576904, 75.0, 52.42718446601934,
9, 42139, 0, 25.116875103823062, 90.0, 25.116279069767174,
10, 624679, 0, 85.07425413692472, 89.14402173913044, 85.07411794838963,
11, 5149, 0, 68.51815886579918, 98.0, 68.50485436893203,
12, 14099, 0, 33.36406837364352, 98.0, 33.36170212765961,
13, 236279, 0, 92.69719272554903, 96.02272727272727, 92.69680040629743,
14, 6349, 0, 74.090407938258, 98.0, 74.07874015748033,
15, 14099, 0, 33.36406837364352, 98.0, 33.36170212765961,
16, 236279, 0, 92.69719272554903, 96.02272727272727, 92.69680040629743,
17, 6349, 0, 74.090407938258, 98.0, 74.07874015748033,
18, 14099, 0, 33.36406837364352, 98.0, 33.36170212765961,
19, 236279, 0, 92.69719272554903, 96.02272727272727, 92.69680040629743,
20, 3555, 0, 66.16033755274262, 87.5, 66.14173228346458,
21, 10583, 0, 44.44864405178116, 87.5, 44.44444444444435,
22, 211079, 0, 88.41429038416896, 90.0, 88.41387151790785,
23, 6243, 0, 75.34839019702066, 87.5, 75.33632286995517,
24, 10583, 0, 44.44864405178116, 87.5, 44.44444444444435,
25, 211079, 0, 88.41429038416896, 90.0, 88.41387151790785,
26, 6243, 0, 75.34839019702066, 87.5, 75.33632286995517,
27, 10583, 0, 44.44864405178116, 87.5, 44.44444444444435,
28, 211079, 0, 88.41429038416896, 90.0, 88.41387151790785,
29, 6243, 0, 75.34839019702066, 87.5, 75.33632286995517,
30, 10583, 0, 44.44864405178116, 87.5, 44.44444444444435,
31, 211079, 0, 88.41429038416896, 90.0, 88.41387151790785,
32, 9365, 0, 75.34436732514682, 87.5, 75.33632286995518,
33, 19907, 0, 53.167227608378965, 87.5, 53.164556962025436,
34, 472139, 0, 88.93652081272676, 90.0, 88.93633244376683,
35, 13397, 0, 79.00276181234605, 87.5, 78.99686520376173,
36, 19907, 0, 53.167227608378965, 87.5, 53.164556962025436,
37, 472139, 0, 88.93652081272676, 90.0, 88.93633244376683,
38, 13397, 0, 79.00276181234605, 87.5, 78.99686520376173,
39, 19907, 0, 53.167227608378965, 87.5, 53.164556962025436,
40, 472139, 0, 88.93652081272676, 90.0, 88.93633244376683,
41, 6379, 0, 69.1330929612792, 76.5625, 69.12225705329153,
42, 13319, 0, 55.18432314738344, 76.5625, 55.18018018018015,
43, 261059, 0, 77.56867221585925, 78.125, 77.56837508618706,
44, 10219, 0, 71.92484587533026, 76.5625, 71.91780821917808,
45, 13319, 0, 55.18432314738344, 76.5625, 55.18018018018015,
46, 261059, 0, 77.56867221585925, 78.125, 77.56837508618706,
47, 10219, 0, 71.92484587533026, 76.5625, 71.91780821917808,
48, 13319, 0, 55.18432314738344, 76.5625, 55.18018018018015,
49, 261059, 0, 77.56867221585925, 78.125, 77.56837508618706,
50, 20439, 0, 71.92132687509174, 76.5625, 71.91780821917808,
51, 30559, 0, 64.1382244183383, 76.5625, 64.13612565445028,
52, 42943, 0, 2.910835293295764, 3.0517578125, 2.910767511177346,
