LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 137090.0, 1330668, 1.0, 137118.0, 1331424, 26.0, 137148.0, 1675712, -3275.0, 115479.0, 155798, -131.0, -1.0, 864, 2874.0, 137280.0, 1577119,
1, 1.0, 132591.0, 3484800, 1.0, 132619.0, 3492864, 287.0, 132649.0, 411456, -3275.0, 131125.0, 501351, -983.0, -1.0, 9216, 11487.0, 133485.0, 387231,
2, 1.0, 36817.0, 401408, 1.0, 36801.0, 200704, 31.0, 36831.0, 225792, -3275.0, 36045.0, 401408, -66.0, -1.0, 512, 6047.0, 36975.0, 200735,
3, 1.0, 91697.0, 602112, 1.0, 91697.0, 602112, 15.0, 91727.0, 1279488, -3275.0, 89798.0, 602112, -197.0, -1.0, 1536, 2511.0, 92495.0, 1204255,
4, 1.0, 1052803.0, 31363200, 1.0, 1052831.0, 31435776, 863.0, 1052861.0, 1234368, -3275.0, 1051658.0, 9305728, -3275.0, 702083.0, 93148, 30495.0, 1053321.0, 1161631,
5, 1.0, 15453.0, 301056, 1.0, 15445.0, 225792, 95.0, 15475.0, 81536, -3275.0, 15120.0, 301056, -262.0, -1.0, 2304, 6763.0, 15787.0, 75295,
6, 1.0, 42109.0, 376320, 1.0, 42093.0, 338688, 23.0, 42123.0, 482944, -3275.0, 40345.0, 376320, -393.0, -1.0, 3456, 2775.0, 42939.0, 451615,
7, 1.0, 624621.0, 18895680, 1.0, 624633.0, 17169408, 1295.0, 624663.0, 449344, -3275.0, 618835.0, 3764604, -3275.0, 499694.0, 15282432, 44751.0, 625513.0, 419935,
8, 1.0, 20157.0, 451584, 1.0, 20149.0, 338688, 143.0, 20179.0, 81536, -3275.0, 19025.0, 451584, -393.0, -1.0, 3456, 8827.0, 20491.0, 75295,
9, 1.0, 42109.0, 376320, 1.0, 42093.0, 338688, 23.0, 42123.0, 482944, -3275.0, 40345.0, 376320, -393.0, -1.0, 3456, 2775.0, 42939.0, 451615,
10, 1.0, 624621.0, 18895680, 1.0, 624633.0, 17169408, 1295.0, 624663.0, 449344, -3275.0, 618835.0, 3764604, -3275.0, 499694.0, 15282432, 44751.0, 625513.0, 419935,
11, 1.0, 5103.0, 112896, 1.0, 5119.0, 115200, 143.0, 5149.0, 26688, -3275.0, 4388.0, 112896, -524.0, -1.0, 4608, 5149.0, 5932.0, 25088,
