LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 137090.0, 1330668, 1.0, 137097.0, 457677, 26.0, 137127.0, 640748, -3275.0, 115479.0, 155798, -66.0, -1.0, 297, 8310.0, 137706.0, 542155,
1, 1.0, 132591.0, 3484800, 1.0, 132598.0, 1200672, 287.0, 132628.0, 157356, -3275.0, 131125.0, 501351, -328.0, -1.0, 3168, 32844.0, 132713.0, 133131,
2, 1.0, 36817.0, 401408, 1.0, 36791.0, 75264, 31.0, 36821.0, 100352, -3275.0, 36045.0, 401408, -66.0, -1.0, 192, 16034.0, 37151.0, 75295,
3, 1.0, 61121.0, 401408, 1.0, 61090.0, 206976, 15.0, 61120.0, 464128, -3275.0, 59852.0, 401408, -66.0, -1.0, 528, 2511.0, 61799.0, 413983,
4, 1.0, 701849.0, 20908800, 1.0, 701846.0, 10806048, 863.0, 701876.0, 447812, -3275.0, 699778.0, 6203694, -2882.0, -1.0, 28512, 30495.0, 702098.0, 399331,
5, 1.0, 15453.0, 301056, 1.0, 15430.0, 84672, 95.0, 15460.0, 34496, -3275.0, 15120.0, 301056, -131.0, -1.0, 864, 15483.0, 16364.0, 28224,
6, 1.0, 16825.0, 150528, 1.0, 16810.0, 115248, 23.0, 16840.0, 166208, -3275.0, 14650.0, 150528, -131.0, -1.0, 1176, 2775.0, 17561.0, 153695,
7, 1.0, 249813.0, 7558272, 1.0, 249826.0, 5842368, 1295.0, 249856.0, 154660, -3275.0, 244027.0, 1504854, -3275.0, 125905.0, 3853782, 44751.0, 250241.0, 142915,
8, 1.0, 20157.0, 451584, 1.0, 20134.0, 127008, 143.0, 20164.0, 34496, -3275.0, 19025.0, 451584, -131.0, -1.0, 1296, 20187.0, 21068.0, 28224,
9, 1.0, 16825.0, 150528, 1.0, 16810.0, 115248, 23.0, 16840.0, 166208, -3275.0, 14650.0, 150528, -131.0, -1.0, 1176, 2775.0, 17561.0, 153695,
10, 1.0, 249813.0, 7558272, 1.0, 249826.0, 5842368, 1295.0, 249856.0, 154660, -3275.0, 244027.0, 1504854, -3275.0, 125905.0, 3853782, 44751.0, 250241.0, 142915,
11, 1.0, 5103.0, 112896, 1.0, 5098.0, 39600, 143.0, 5128.0, 10224, -3275.0, 4388.0, 112896, -197.0, -1.0, 1584, 5149.0, 5418.0, 8624,
12, 1.0, 7003.0, 75264, 1.0, 6988.0, 52000, 31.0, 7018.0, 55760, -2555.0, -1.0, 25088, -262.0, -1.0, 2080, 3070.0, 7618.0, 50991,
13, 1.0, 118081.0, 3504384, 1.0, 118078.0, 2471040, 1727.0, 118108.0, 48164, -3275.0, 110383.0, 555488, -3275.0, 78416.0, 2434752, 59054.0, 118489.0, 43971,
14, 1.0, 6303.0, 150528, 1.0, 6298.0, 52800, 191.0, 6328.0, 10224, -3275.0, 5412.0, 150528, -262.0, -1.0, 2112, 6349.0, 6618.0, 8624,
15, 1.0, 7003.0, 75264, 1.0, 6988.0, 52000, 31.0, 7018.0, 55760, -2555.0, -1.0, 25088, -262.0, -1.0, 2080, 3070.0, 7618.0, 50991,
16, 1.0, 118081.0, 3504384, 1.0, 118078.0, 2471040, 1727.0, 118108.0, 48164, -3275.0, 110383.0, 555488, -3275.0, 78416.0, 2434752, 59054.0, 118489.0, 43971,
17, 1.0, 6303.0, 150528, 1.0, 6298.0, 52800, 191.0, 6328.0, 10224, -3275.0, 5412.0, 150528, -262.0, -1.0, 2112, 6349.0, 6618.0, 8624,
18, 1.0, 7003.0, 75264, 1.0, 6988.0, 52000, 31.0, 7018.0, 55760, -2555.0, -1.0, 25088, -262.0, -1.0, 2080, 3070.0, 7618.0, 50991,
19, 1.0, 118081.0, 3504384, 1.0, 118078.0, 2471040, 1727.0, 118108.0, 48164, -3275.0, 110383.0, 555488, -3275.0, 78416.0, 2434752, 59054.0, 118489.0, 43971,
20, 1.0, 1719.0, 37632, 1.0, 1737.0, 29568, 191.0, 1767.0, 4760, -3275.0, 1349.0, 37632, -459.0, -1.0, 4224, 1777.0, 1911.0, 4312,
21, 1.0, 4351.0, 62720, 1.0, 4348.0, 57792, 63.0, 4378.0, 27524, -1310.0, -1.0, 12544, -852.0, -1.0, 8256, 4409.0, 5199.0, 25284,
22, 1.0, 87903.0, 2488320, 1.0, 87888.0, 2229120, 3455.0, 87918.0, 20176, -3275.0, 86949.0, 564008, -3275.0, 69764.0, 2215296, 87949.0, 88529.0, 18576,
23, 1.0, 3063.0, 75264, 1.0, 3081.0, 59136, 383.0, 3111.0, 4760, -3275.0, 2373.0, 75264, -852.0, -1.0, 8448, 3121.0, 3255.0, 4312,
24, 1.0, 4351.0, 62720, 1.0, 4348.0, 57792, 63.0, 4378.0, 27524, -1310.0, -1.0, 12544, -852.0, -1.0, 8256, 4409.0, 5199.0, 25284,
