LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 137148, 0, 16.107539277823957, 53.094834928617786, 16.107421832277062,
1, 132649, 0, 43.613691019155816, 53.00234993403694, 43.61336223143597,
2, 36847, 0, 9.574727929003718, 28.125, 9.57446808510632,
3, 61151, 0, 15.705385030498276, 76.5625, 15.705128205128466,
4, 701907, 0, 71.27146117648064, 76.38573961081794, 71.27135963687523,
5, 15483, 0, 24.68513853904282, 40.625, 24.68354430379744,
6, 25283, 0, 21.221769568484753, 76.04166666666666, 21.22093023255828,
7, 374807, 0, 71.87994421128741, 75.31844429347827, 71.87975243324559,
8, 20187, 0, 28.399465002229157, 40.625, 28.398058252427198,
9, 25283, 0, 21.221769568484753, 76.04166666666666, 21.22093023255828,
10, 374807, 0, 71.87994421128741, 75.31844429347827, 71.87975243324559,
11, 5149, 0, 36.400271897455816, 52.0625, 36.39320388349513,
12, 9399, 0, 25.284604745185657, 74.265625, 25.281914893616992,
13, 157519, 0, 70.24724001549019, 72.76722301136364, 70.24679405789733,
14, 6349, 0, 39.360529217199556, 52.0625, 39.354330708661415,
15, 9399, 0, 25.284604745185657, 74.265625, 25.281914893616992,
16, 157519, 0, 70.24724001549019, 72.76722301136364, 70.24679405789733,
17, 6349, 0, 39.360529217199556, 52.0625, 39.354330708661415,
18, 9399, 0, 25.284604745185657, 74.265625, 25.281914893616992,
19, 157519, 0, 70.24724001549019, 72.76722301136364, 70.24679405789733,
20, 3555, 0, 34.11392405063291, 45.1171875, 34.104330708661415,
21, 6173, 0, 38.2998542037907, 75.390625, 38.29365079365078,
22, 123129, 0, 76.17864191214093, 77.54464285714285, 76.1780232274831,
23, 6243, 0, 38.85151369533878, 45.1171875, 38.84529147982062,
24, 6173, 0, 38.2998542037907, 75.390625, 38.29365079365078,
25, 123129, 0, 76.17864191214093, 77.54464285714285, 76.1780232274831,
26, 6243, 0, 38.85151369533878, 45.1171875, 38.84529147982062,
27, 6173, 0, 38.2998542037907, 75.390625, 38.29365079365078,
28, 123129, 0, 76.17864191214093, 77.54464285714285, 76.1780232274831,
29, 6243, 0, 38.85151369533878, 45.1171875, 38.84529147982062,
30, 6173, 0, 38.2998542037907, 75.390625, 38.29365079365078,
31, 123129, 0, 76.17864191214093, 77.54464285714285, 76.1780232274831,
32, 6243, 0, 57.68861124459394, 66.9921875, 57.67937219730942,
33, 11059, 0, 48.018582150284836, 79.0234375, 48.014240506329116,
34, 262299, 0, 80.32093145608637, 81.28125, 80.3206252382768,
35, 8931, 0, 60.48874706079946, 66.9921875, 60.48197492163009,
36, 11059, 0, 48.018582150284836, 79.0234375, 48.014240506329116,
37, 262299, 0, 80.32093145608637, 81.28125, 80.3206252382768,
38, 8931, 0, 60.48874706079946, 66.9921875, 60.48197492163009,
39, 11059, 0, 48.018582150284836, 79.0234375, 48.014240506329116,
40, 262299, 0, 80.32093145608637, 81.28125, 80.3206252382768,
41, 3827, 0, 58.33714397700549, 64.599609375, 58.32190438871474,
42, 7103, 0, 51.84649091932986, 71.9268798828125, 51.839192708333336,
43, 139231, 0, 72.87237576401807, 73.394775390625, 72.87185237589061,
44, 6131, 0, 60.69054803457837, 64.599609375, 60.6806506849315,
45, 7103, 0, 51.84649091932986, 71.9268798828125, 51.839192708333336,
46, 139231, 0, 72.87237576401807, 73.394775390625, 72.87185237589061,
47, 6131, 0, 60.69054803457837, 64.599609375, 60.6806506849315,
48, 7103, 0, 51.84649091932986, 71.9268798828125, 51.839192708333336,
49, 139231, 0, 72.87237576401807, 73.394775390625, 72.87185237589061,
50, 12263, 0, 60.31099649351708, 64.20084635416666, 60.30607876712328,
51, 16043, 0, 61.181278439194664, 73.03059895833334, 61.17746509598606,
52, 21471, 0, 2.916724884728238, 3.057861328125, 2.9165890461997015,
