LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 11025.0, 247254, 1.0, 11255.0, 254016, 146.0, 11285.0, 57280, -3275.0, 10907.0, 230496, -983.0, -1.0, 9408, 6873.0, 11943.0, 53855,
1, 1.0, 9524.0, 259200, 1.0, 10177.0, 294912, 575.0, 10207.0, 15424, -3275.0, 8155.0, 225792, -3275.0, 5567.0, 51182, 10207.0, 10656.0, 14400,
2, 1.0, 9524.0, 259200, 1.0, 10177.0, 294912, 575.0, 10207.0, 15424, -3275.0, 8155.0, 225792, -3275.0, 5567.0, 51182, 10207.0, 10656.0, 14400,
3, 1.0, 9524.0, 259200, 1.0, 10177.0, 294912, 575.0, 10207.0, 15424, -3275.0, 8155.0, 225792, -3275.0, 5567.0, 51182, 10207.0, 10656.0, 14400,
4, 1.0, 9524.0, 259200, 1.0, 10177.0, 294912, 575.0, 10207.0, 15424, -3275.0, 8155.0, 225792, -3275.0, 5567.0, 51182, 10207.0, 10656.0, 14400,
5, 1.0, 5064.0, 147456, 1.0, 5073.0, 147456, 575.0, 5103.0, 8704, -2882.0, -1.0, 28224, -3275.0, 4291.0, 116682, 5103.0, 5358.0, 8192,
6, 1.0, 9672.0, 294912, 1.0, 9681.0, 294912, 1151.0, 9711.0, 8704, -3275.0, 8269.0, 225792, -3275.0, 9664.0, 294912, 9711.0, 9966.0, 8192,
7, 1.0, 968.0, 16384, 1.0, 977.0, 16384, 63.0, 1007.0, 8704, -328.0, -1.0, 3136, -852.0, -1.0, 8192, 1007.0, 1262.0, 8192,
8, 1.0, 9672.0, 294912, 1.0, 9681.0, 294912, 1151.0, 9711.0, 8704, -3275.0, 8269.0, 225792, -3275.0, 9664.0, 294912, 9711.0, 9966.0, 8192,
9, 1.0, 9672.0, 294912, 1.0, 9681.0, 294912, 1151.0, 9711.0, 8704, -3275.0, 8269.0, 225792, -3275.0, 9664.0, 294912, 9711.0, 9966.0, 8192,
10, 1.0, 9668.0, 230400, 1.0, 9681.0, 294912, 1158.0, 9711.0, 6912, -1900.0, -1.0, 18432, -3275.0, 9664.0, 294912, 9711.0, 9910.0, 6400,
11, 1.0, 18876.0, 294912, 1.0, 18897.0, 589824, 2319.0, 18927.0, 4608, -3144.0, -1.0, 30976, -3275.0, 18873.0, 589824, 18927.0, 19054.0, 4096,
12, 1.0, 1476.0, 25600, 1.0, 1489.0, 32768, 134.0, 1519.0, 6912, -262.0, -1.0, 2048, -3275.0, 1484.0, 32768, 1519.0, 1718.0, 6400,
13, 1.0, 18876.0, 294912, 1.0, 18897.0, 589824, 2319.0, 18927.0, 4608, -3144.0, -1.0, 30976, -3275.0, 18873.0, 589824, 18927.0, 19054.0, 4096,
14, 1.0, 18876.0, 294912, 1.0, 18897.0, 589824, 2319.0, 18927.0, 4608, -3144.0, -1.0, 30976, -3275.0, 18873.0, 589824, 18927.0, 19054.0, 4096,
15, 1.0, 37798.0, 331776, 1.0, 37825.0, 1179648, 2326.0, 37855.0, 5632, -983.0, -1.0, 9216, -3275.0, 37790.0, 1179648, 37855.0, 37998.0, 4608,
16, 1.0, 74661.0, 294912, 1.0, 74689.0, 2359296, 4635.0, 74719.0, 3072, -1900.0, -1.0, 18432, -3275.0, 74633.0, 2359296, 74719.0, 74782.0, 2048,
17, 1.0, 5030.0, 36864, 1.0, 5057.0, 131072, 278.0, 5087.0, 5632, -131.0, -1.0, 1024, -3275.0, 5046.0, 131072, 5087.0, 5230.0, 4608,
18, 1.0, 74661.0, 294912, 1.0, 74689.0, 2359296, 4635.0, 74719.0, 3072, -1900.0, -1.0, 18432, -3275.0, 74633.0, 2359296, 74719.0, 74782.0, 2048,
19, 1.0, 74661.0, 294912, 1.0, 74689.0, 2359296, 4635.0, 74719.0, 3072, -1900.0, -1.0, 18432, -3275.0, 74633.0, 2359296, 74719.0, 74782.0, 2048,
20, 1.0, 18306.0, 16384, 1.0, 18313.0, 512000, 542.0, 18343.0, 3048, -66.0, -1.0, 512, -3275.0, 17167.0, 512000, 18367.0, 18398.0, 1000,
