LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 621089.0, 13972056, 1.0, 621117.0, 13980288, 146.0, 621147.0, 3231744, -3275.0, 600416.0, 341222, -983.0, -1.0, 9408, 6834.0, 621987.0, 3041567,
1, 1.0, 24665.0, 401408, 1.0, 24665.0, 401408, 63.0, 24695.0, 213248, -3275.0, 24141.0, 401408, -459.0, -1.0, 4096, 4095.0, 24823.0, 200735,
2, 1.0, 117333.0, 3359232, 1.0, 117361.0, 3391488, 575.0, 117391.0, 198400, -3275.0, 113515.0, 509426, -3275.0, 59159.0, 51182, 20991.0, 118103.0, 186655,
3, 1.0, 98753.0, 1605632, 1.0, 98753.0, 1605632, 63.0, 98783.0, 852992, -3275.0, 98710.0, 1605632, -1703.0, -1.0, 16384, 4095.0, 99295.0, 802847,
4, 1.0, 98753.0, 1605632, 1.0, 98753.0, 1605632, 63.0, 98783.0, 852992, -3275.0, 98710.0, 1605632, -1703.0, -1.0, 16384, 4095.0, 99295.0, 802847,
5, 1.0, 62297.0, 1605632, 1.0, 62297.0, 1605632, 255.0, 62327.0, 213248, -3275.0, 62254.0, 1605632, -1703.0, -1.0, 16384, 10431.0, 62455.0, 200735,
6, 1.0, 117333.0, 3359232, 1.0, 117361.0, 3391488, 575.0, 117391.0, 198400, -3275.0, 113515.0, 509426, -3275.0, 59159.0, 51182, 20991.0, 118103.0, 186655,
7, 1.0, 98753.0, 1605632, 1.0, 98753.0, 1605632, 63.0, 98783.0, 852992, -3275.0, 98710.0, 1605632, -1703.0, -1.0, 16384, 4095.0, 99295.0, 802847,
8, 1.0, 62297.0, 1605632, 1.0, 62297.0, 1605632, 255.0, 62327.0, 213248, -3275.0, 62254.0, 1605632, -1703.0, -1.0, 16384, 10431.0, 62455.0, 200735,
9, 1.0, 117333.0, 3359232, 1.0, 117361.0, 3391488, 575.0, 117391.0, 198400, -3275.0, 113515.0, 509426, -3275.0, 59159.0, 51182, 20991.0, 118103.0, 186655,
10, 1.0, 98753.0, 1605632, 1.0, 98753.0, 1605632, 63.0, 98783.0, 852992, -3275.0, 98710.0, 1605632, -1703.0, -1.0, 16384, 4095.0, 99295.0, 802847,
11, 1.0, 124625.0, 3211264, 1.0, 124625.0, 3211264, 255.0, 124655.0, 426496, -3275.0, 124555.0, 3211264, -3275.0, 93774.0, 40942, 10431.0, 124911.0, 401439,
12, 1.0, 106773.0, 3115008, 1.0, 106801.0, 3244032, 1151.0, 106831.0, 92160, -3275.0, 105298.0, 496896, -3275.0, 106730.0, 3244032, 40046.0, 107487.0, 86559,
13, 1.0, 75953.0, 1605632, 1.0, 75969.0, 1638400, 127.0, 75999.0, 427008, -3275.0, 75891.0, 1605632, -3275.0, 66654.0, 73692, 6238.0, 76255.0, 401439,
14, 1.0, 498593.0, 12845056, 1.0, 498593.0, 12845056, 255.0, 498623.0, 1705984, -3275.0, 498357.0, 12845056, -3275.0, 467742.0, 171942, 10431.0, 499647.0, 1605663,
15, 1.0, 57353.0, 1605632, 1.0, 57369.0, 1638400, 511.0, 57399.0, 106752, -3275.0, 57291.0, 1605632, -3275.0, 43588.0, 114634, 18910.0, 57463.0, 100383,
16, 1.0, 106773.0, 3115008, 1.0, 106801.0, 3244032, 1151.0, 106831.0, 92160, -3275.0, 105298.0, 496896, -3275.0, 106730.0, 3244032, 40046.0, 107487.0, 86559,
17, 1.0, 75953.0, 1605632, 1.0, 75969.0, 1638400, 127.0, 75999.0, 427008, -3275.0, 75891.0, 1605632, -3275.0, 66654.0, 73692, 6238.0, 76255.0, 401439,
18, 1.0, 57353.0, 1605632, 1.0, 57369.0, 1638400, 511.0, 57399.0, 106752, -3275.0, 57291.0, 1605632, -3275.0, 43588.0, 114634, 18910.0, 57463.0, 100383,
19, 1.0, 106773.0, 3115008, 1.0, 106801.0, 3244032, 1151.0, 106831.0, 92160, -3275.0, 105298.0, 496896, -3275.0, 106730.0, 3244032, 40046.0, 107487.0, 86559,
20, 1.0, 75953.0, 1605632, 1.0, 75969.0, 1638400, 127.0, 75999.0, 427008, -3275.0, 75891.0, 1605632, -3275.0, 66654.0, 73692, 6238.0, 76255.0, 401439,
21, 1.0, 57353.0, 1605632, 1.0, 57369.0, 1638400, 511.0, 57399.0, 106752, -3275.0, 57291.0, 1605632, -3275.0, 43588.0, 114634, 18910.0, 57463.0, 100383,
22, 1.0, 106773.0, 3115008, 1.0, 106801.0, 3244032, 1151.0, 106831.0, 92160, -3275.0, 105298.0, 496896, -3275.0, 106730.0, 3244032, 40046.0, 107487.0, 86559,
23, 1.0, 75953.0, 1605632, 1.0, 75969.0, 1638400, 127.0, 75999.0, 427008, -3275.0, 75891.0, 1605632, -3275.0, 66654.0, 73692, 6238.0, 76255.0, 401439,
24, 1.0, 114753.0, 3211264, 1.0, 114769.0, 3276800, 511.0, 114799.0, 213504, -3275.0, 114636.0, 3211264, -3275.0, 100988.0, 245634, 18910.0, 114927.0, 200735,
25, 1.0, 94593.0, 2654208, 1.0, 94609.0, 2949120, 2303.0, 94639.0, 39424, -3275.0, 89185.0, 515207, -3275.0, 94543.0, 2949120, 85144.0, 94767.0, 36895,
26, 1.0, 71173.0, 1605632, 1.0, 71201.0, 1835008, 255.0, 71231.0, 215040, -3275.0, 70951.0, 1605632, -3275.0, 67062.0, 343884, 11730.0, 71359.0, 200735,
27, 1.0, 459153.0, 12845056, 1.0, 459169.0, 13107200, 511.0, 459199.0, 854016, -3275.0, 458705.0, 12845056, -3275.0, 445388.0, 1031634, 18910.0, 459711.0, 802847,
28, 1.0, 60757.0, 1605632, 1.0, 60785.0, 1835008, 1023.0, 60815.0, 53760, -3275.0, 60535.0, 1605632, -3275.0, 60738.0, 1835008, 40146.0, 61359.0, 50207,
29, 1.0, 94593.0, 2654208, 1.0, 94609.0, 2949120, 2303.0, 94639.0, 39424, -3275.0, 89185.0, 515207, -3275.0, 94543.0, 2949120, 85144.0, 94767.0, 36895,
30, 1.0, 71173.0, 1605632, 1.0, 71201.0, 1835008, 255.0, 71231.0, 215040, -3275.0, 70951.0, 1605632, -3275.0, 67062.0, 343884, 11730.0, 71359.0, 200735,
31, 1.0, 60757.0, 1605632, 1.0, 60785.0, 1835008, 1023.0, 60815.0, 53760, -3275.0, 60535.0, 1605632, -3275.0, 60738.0, 1835008, 40146.0, 61359.0, 50207,
32, 1.0, 94593.0, 2654208, 1.0, 94609.0, 2949120, 2303.0, 94639.0, 39424, -3275.0, 89185.0, 515207, -3275.0, 94543.0, 2949120, 85144.0, 94767.0, 36895,
33, 1.0, 71173.0, 1605632, 1.0, 71201.0, 1835008, 255.0, 71231.0, 215040, -3275.0, 70951.0, 1605632, -3275.0, 67062.0, 343884, 11730.0, 71359.0, 200735,
34, 1.0, 60757.0, 1605632, 1.0, 60785.0, 1835008, 1023.0, 60815.0, 53760, -3275.0, 60535.0, 1605632, -3275.0, 60738.0, 1835008, 40146.0, 61359.0, 50207,
35, 1.0, 94593.0, 2654208, 1.0, 94609.0, 2949120, 2303.0, 94639.0, 39424, -3275.0, 89185.0, 515207, -3275.0, 94543.0, 2949120, 85144.0, 94767.0, 36895,
36, 1.0, 71173.0, 1605632, 1.0, 71201.0, 1835008, 255.0, 71231.0, 215040, -3275.0, 70951.0, 1605632, -3275.0, 67062.0, 343884, 11730.0, 71359.0, 200735,
37, 1.0, 60757.0, 1605632, 1.0, 60785.0, 1835008, 1023.0, 60815.0, 53760, -3275.0, 60535.0, 1605632, -3275.0, 60738.0, 1835008, 40146.0, 61359.0, 50207,
38, 1.0, 94593.0, 2654208, 1.0, 94609.0, 2949120, 2303.0, 94639.0, 39424, -3275.0, 89185.0, 515207, -3275.0, 94543.0, 2949120, 85144.0, 94767.0, 36895,
39, 1.0, 71173.0, 1605632, 1.0, 71201.0, 1835008, 255.0, 71231.0, 215040, -3275.0, 70951.0, 1605632, -3275.0, 67062.0, 343884, 11730.0, 71359.0, 200735,
40, 1.0, 60757.0, 1605632, 1.0, 60785.0, 1835008, 1023.0, 60815.0, 53760, -3275.0, 60535.0, 1605632, -3275.0, 60738.0, 1835008, 40146.0, 61359.0, 50207,
41, 1.0, 94593.0, 2654208, 1.0, 94609.0, 2949120, 2303.0, 94639.0, 39424, -3275.0, 89185.0, 515207, -3275.0, 94543.0, 2949120, 85144.0, 94767.0, 36895,
42, 1.0, 71173.0, 1605632, 1.0, 71201.0, 1835008, 255.0, 71231.0, 215040, -3275.0, 70951.0, 1605632, -3275.0, 67062.0, 343884, 11730.0, 71359.0, 200735,
43, 1.0, 121573.0, 3211264, 1.0, 121601.0, 3670016, 1023.0, 121631.0, 107520, -3275.0, 121131.0, 3211264, -3275.0, 121523.0, 3670016, 40146.0, 121695.0, 100383,
44, 1.0, 74682.0, 1843200, 1.0, 74689.0, 2359296, 4614.0, 74719.0, 13824, -2555.0, -1.0, 25088, -3275.0, 74633.0, 2359296, 74719.0, 75118.0, 12800,
45, 1.0, 73426.0, 1605632, 1.0, 73441.0, 2097152, 511.0, 73471.0, 108544, -2555.0, -1.0, 25088, -3275.0, 72862.0, 2079634, 24090.0, 73535.0, 100383,
46, 1.0, 486469.0, 12845056, 1.0, 486497.0, 14680064, 1023.0, 486527.0, 430080, -3275.0, 485303.0, 12845056, -3275.0, 486230.0, 14680064, 40146.0, 486783.0, 401439,
47, 1.0, 67474.0, 1605632, 1.0, 67489.0, 2097152, 2047.0, 67519.0, 27136, -3275.0, 67415.0, 1605632, -3275.0, 67438.0, 2097152, 67519.0, 68302.0, 25088,
48, 1.0, 74682.0, 1843200, 1.0, 74689.0, 2359296, 4614.0, 74719.0, 13824, -2555.0, -1.0, 25088, -3275.0, 74633.0, 2359296, 74719.0, 75118.0, 12800,
49, 1.0, 73426.0, 1605632, 1.0, 73441.0, 2097152, 511.0, 73471.0, 108544, -2555.0, -1.0, 25088, -3275.0, 72862.0, 2079634, 24090.0, 73535.0, 100383,
50, 1.0, 67474.0, 1605632, 1.0, 67489.0, 2097152, 2047.0, 67519.0, 27136, -3275.0, 67415.0, 1605632, -3275.0, 67438.0, 2097152, 67519.0, 68302.0, 25088,
51, 1.0, 74682.0, 1843200, 1.0, 74689.0, 2359296, 4614.0, 74719.0, 13824, -2555.0, -1.0, 25088, -3275.0, 74633.0, 2359296, 74719.0, 75118.0, 12800,
52, 1.0, 73426.0, 1605632, 1.0, 73441.0, 2097152, 511.0, 73471.0, 108544, -2555.0, -1.0, 25088, -3275.0, 72862.0, 2079634, 24090.0, 73535.0, 100383,
53, 1.0, 67458.0, 65536, 1.0, 67465.0, 2048000, 2078.0, 67495.0, 3048, -262.0, -1.0, 2048, -3275.0, 65329.0, 2048000, 67519.0, 67550.0, 1000,
